Student ID,student_name,gender,grade,school_name,reading_score,math_score,,over
95,Kevin Martinez,M,11th,Huang High School,89,58,,73.5
96,Jessica Smith,F,9th,Huang High School,77,72,,74.5
97,Dawn Trujillo,F,11th,Huang High School,82,87,,84.5
98,Virginia Ramirez MD,F,10th,Huang High School,99,89,,94
99,Marc Hernandez,M,10th,Huang High School,87,63,,75
100,Jose Gonzalez,M,12th,Huang High School,69,67,,68
101,Jason Dennis,M,10th,Huang High School,72,57,,64.5
102,Gary Morris,M,11th,Huang High School,74,58,,66
103,William Mcdonald,M,12th,Huang High School,86,74,,80
104,Michael Savage,M,9th,Huang High School,75,66,,70.5
105,Alexis Todd,F,11th,Huang High School,82,95,,88.5
106,David Hansen,M,10th,Huang High School,76,86,,81
107,Steven Mendez,M,12th,Huang High School,68,88,,78
108,Ryan Lynch,M,12th,Huang High School,77,67,,72
109,Timothy Marks,M,9th,Huang High School,78,62,,70
110,Alexander Johns,M,10th,Huang High School,67,77,,72
111,Kenneth Chavez,M,9th,Huang High School,70,79,,74.5
112,Dennis Williams,M,10th,Huang High School,88,67,,77.5
113,Michael Roy,M,12th,Huang High School,85,73,,79
114,Richard Ryan,M,12th,Huang High School,88,86,,87
115,Matthew Reyes,M,12th,Huang High School,79,60,,69.5
116,Stephanie Ward,F,11th,Huang High School,75,69,,72
117,Christopher Tucker,M,10th,Huang High School,80,90,,85
118,Daniel Jones,M,12th,Huang High School,66,68,,67
119,Devin Craig,M,10th,Huang High School,65,80,,72.5
120,Erin Prince,F,12th,Huang High School,88,81,,84.5
121,Bernard Ortiz,M,11th,Huang High School,78,76,,77
122,Nicole Miller,F,10th,Huang High School,98,57,,77.5
123,Christopher Fritz,M,9th,Huang High School,88,77,,82.5
124,Bonnie Mckinney,F,11th,Huang High School,63,65,,64
125,Troy Nelson,M,11th,Huang High School,79,63,,71
126,Jennifer Lee,F,12th,Huang High School,93,66,,79.5
127,Ronald Ward,M,10th,Huang High School,74,89,,81.5
128,Nathaniel Hampton,M,11th,Huang High School,70,81,,75.5
129,Michael Travis,M,11th,Huang High School,65,79,,72
130,James Taylor,M,9th,Huang High School,77,71,,74
131,Thomas Strickland,M,9th,Huang High School,63,77,,70
132,Brittany Jackson,F,9th,Huang High School,79,57,,68
133,Marisa Lowe,F,9th,Huang High School,95,95,,95
134,Nicole Thomas,F,9th,Huang High School,83,59,,71
135,Matthew Rodriguez,M,12th,Huang High School,80,79,,79.5
136,Kent Fernandez,M,12th,Huang High School,66,58,,62
137,Michelle Martin,F,12th,Huang High School,86,92,,89
138,John Sparks,M,9th,Huang High School,74,91,,82.5
139,Ann Blake,F,11th,Huang High School,97,75,,86
140,Melissa Miller,F,12th,Huang High School,76,67,,71.5
141,Steven Houston,M,9th,Huang High School,99,71,,85
142,Kristen Anderson,F,11th,Huang High School,78,76,,77
143,Cory Jones,M,11th,Huang High School,82,73,,77.5
144,Jennifer Mora,F,10th,Huang High School,98,73,,85.5
145,Dennis Griffin,M,9th,Huang High School,78,71,,74.5
146,Darryl Brown,M,10th,Huang High School,98,90,,94
147,Martin Mosley,M,10th,Huang High School,90,67,,78.5
148,Joyce Diaz,F,10th,Huang High School,85,58,,71.5
149,Jeffrey Rose,M,12th,Huang High School,81,91,,86
150,Jamie Moreno,F,9th,Huang High School,78,99,,88.5
151,Catherine Williams,F,9th,Huang High School,66,56,,61
152,Lauren Byrd,F,11th,Huang High School,66,92,,79
153,Vanessa Frazier,F,10th,Huang High School,85,82,,83.5
154,Stephen Bryant,M,11th,Huang High School,83,77,,80
155,Lawrence Liu,M,12th,Huang High School,82,73,,77.5
156,Joseph Larsen,M,9th,Huang High School,88,82,,85
157,Susan Collier,F,11th,Huang High School,76,92,,84
158,Meagan Jensen,F,9th,Huang High School,66,67,,66.5
159,Julie Harper,F,12th,Huang High School,88,73,,80.5
160,Meghan Carroll,F,12th,Huang High School,75,98,,86.5
161,Wanda Horton,F,11th,Huang High School,68,88,,78
162,Mary Campbell,F,10th,Huang High School,72,56,,64
163,Jennifer Rodgers,F,11th,Huang High School,83,98,,90.5
164,Heather Cooper,F,12th,Huang High School,85,61,,73
165,Ryan Perez,M,11th,Huang High School,70,87,,78.5
166,Ryan Cox,M,12th,Huang High School,95,72,,83.5
167,Darren Zavala,M,10th,Huang High School,64,84,,74
168,Joseph Morales III,M,10th,Huang High School,64,85,,74.5
169,Aaron West,M,10th,Huang High School,98,67,,82.5
170,James Combs,M,10th,Huang High School,65,82,,73.5
171,Curtis Garner,M,10th,Huang High School,79,78,,78.5
172,Sarah Miller,F,10th,Huang High School,94,71,,82.5
173,Samantha Thomas,F,10th,Huang High School,92,62,,77
174,Robert Atkins,M,9th,Huang High School,85,97,,91
175,Alexis Crawford,M,10th,Huang High School,70,82,,76
176,Ryan Maddox,M,11th,Huang High School,80,80,,80
177,Jonathan Meyer,M,9th,Huang High School,65,79,,72
178,Donna Wagner,F,10th,Huang High School,95,61,,78
179,William Kennedy,M,11th,Huang High School,76,56,,66
180,Kimberly Martinez,F,11th,Huang High School,84,83,,83.5
181,Matthew Anderson,M,11th,Huang High School,92,99,,95.5
182,Kari Miller,F,9th,Huang High School,88,55,,71.5
183,Jenna Luna,F,9th,Huang High School,73,91,,82
184,Justin Contreras,M,12th,Huang High School,89,63,,76
185,Mary Fox,F,11th,Huang High School,94,92,,93
186,Joseph Perkins,M,10th,Huang High School,96,76,,86
187,Kelly Phillips,F,12th,Huang High School,78,90,,84
188,Justin Thornton,M,11th,Huang High School,65,61,,63
189,Joshua Barber,M,10th,Huang High School,77,61,,69
190,Travis Jackson,M,11th,Huang High School,86,96,,91
191,Jordan Beasley,F,10th,Huang High School,96,59,,77.5
192,Kevin Allen,M,12th,Huang High School,68,63,,65.5
193,Victoria Harris,F,11th,Huang High School,89,59,,74
194,Victoria Joseph,F,12th,Huang High School,72,56,,64
195,Brandy Marshall,F,11th,Huang High School,86,60,,73
196,Ryan Jimenez,M,11th,Huang High School,63,89,,76
197,Michael Chan,M,9th,Huang High School,63,69,,66
198,Christopher Phillips,M,9th,Huang High School,86,55,,70.5
199,Kevin Murphy,M,10th,Huang High School,85,99,,92
200,Vanessa Harper,F,12th,Huang High School,85,85,,85
201,James Ferguson,M,9th,Huang High School,96,66,,81
202,Carol Schroeder,F,12th,Huang High School,83,61,,72
203,Jerry Phillips,M,10th,Huang High School,82,72,,77
204,Kristin Wade,F,9th,Huang High School,71,56,,63.5
205,Jessica Warner,F,11th,Huang High School,94,83,,88.5
206,Dorothy Burke,F,11th,Huang High School,91,92,,91.5
207,Bethany Walter,F,9th,Huang High School,88,76,,82
208,Melissa Avery,F,9th,Huang High School,83,86,,84.5
209,Daniel Sutton,M,11th,Huang High School,86,96,,91
210,Ryan Johnson,M,9th,Huang High School,63,79,,71
211,Timothy Quinn,M,10th,Huang High School,83,76,,79.5
212,Zachary Allen,M,10th,Huang High School,64,87,,75.5
213,Lauren Schmitt,F,12th,Huang High School,71,61,,66
214,Stephanie Armstrong,F,11th,Huang High School,70,66,,68
215,Ruben Rivera,M,9th,Huang High School,65,79,,72
216,Patricia Petty,F,12th,Huang High School,79,98,,88.5
217,Joseph Jacobs,M,11th,Huang High School,96,68,,82
218,Bianca Wilson,F,11th,Huang High School,66,62,,64
219,Donald Perez,M,9th,Huang High School,87,79,,83
220,Curtis Gomez,M,9th,Huang High School,77,77,,77
221,Courtney Brown,F,9th,Huang High School,90,88,,89
222,Nicole Randall,F,9th,Huang High School,94,78,,86
223,Steven Lambert,M,11th,Huang High School,64,56,,60
224,Anthony Alvarez,M,10th,Huang High School,93,90,,91.5
225,Shawn Farrell,M,10th,Huang High School,89,87,,88
226,Jesus Schmidt,M,9th,Huang High School,80,76,,78
227,Laura Wright,F,12th,Huang High School,89,69,,79
228,Steven Smith,M,11th,Huang High School,66,65,,65.5
229,Norman Thompson,M,9th,Huang High School,99,78,,88.5
230,Anthony Wright,M,10th,Huang High School,76,64,,70
231,Kayla Watts,F,11th,Huang High School,74,89,,81.5
232,Aimee Johnson,F,9th,Huang High School,97,55,,76
233,Heidi Scott,F,12th,Huang High School,77,98,,87.5
234,Anthony Williams,M,10th,Huang High School,78,93,,85.5
235,Sarah Hill,F,12th,Huang High School,88,97,,92.5
236,Kim Wang,F,9th,Huang High School,90,71,,80.5
237,Beth Manning,F,11th,Huang High School,88,92,,90
238,Ryan Hanson,M,12th,Huang High School,87,83,,85
239,James Wood,M,9th,Huang High School,70,81,,75.5
240,Corey Greene,M,10th,Huang High School,70,94,,82
241,John Carter,M,11th,Huang High School,95,83,,89
242,Beth Garza,F,11th,Huang High School,75,92,,83.5
243,Karen Jones,F,9th,Huang High School,78,96,,87
244,Stephanie Poole,F,10th,Huang High School,95,59,,77
245,Lisa Brown,F,9th,Huang High School,99,72,,85.5
246,Paul Scott,M,10th,Huang High School,64,78,,71
247,Evelyn Buck,F,10th,Huang High School,68,60,,64
248,Terry Harrell,M,9th,Huang High School,86,69,,77.5
249,Leah Skinner,F,11th,Huang High School,70,79,,74.5
250,Anthony Mercado,M,11th,Huang High School,95,97,,96
251,Walter Kelly,M,9th,Huang High School,80,78,,79
252,Lori Evans,F,10th,Huang High School,99,66,,82.5
253,Ashley Jones,F,12th,Huang High School,96,72,,84
254,Amber Soto,F,9th,Huang High School,82,60,,71
255,Patrick Phillips,M,10th,Huang High School,64,62,,63
256,Linda Curry,F,11th,Huang High School,74,76,,75
257,Alexander Obrien,M,10th,Huang High School,68,90,,79
258,Vincent Garza,M,10th,Huang High School,97,61,,79
259,Terry Marsh,M,11th,Huang High School,99,69,,84
260,Angela Perkins DVM,F,11th,Huang High School,76,56,,66
261,Peter Hampton,M,9th,Huang High School,83,97,,90
262,David Cross,M,11th,Huang High School,68,61,,64.5
263,Clinton Ortega,M,10th,Huang High School,93,62,,77.5
264,Jamie Escobar,F,10th,Huang High School,91,91,,91
265,Sandra Mason,F,12th,Huang High School,76,83,,79.5
266,Craig Cole,M,12th,Huang High School,83,92,,87.5
267,Lisa Warren,F,12th,Huang High School,70,81,,75.5
268,Maria Howard,F,9th,Huang High School,74,91,,82.5
269,Michael Porter,M,11th,Huang High School,86,68,,77
270,John Turner,M,11th,Huang High School,78,99,,88.5
271,Timothy Wang,M,12th,Huang High School,93,75,,84
272,Amanda Taylor,F,9th,Huang High School,73,58,,65.5
273,Karen Mckenzie,F,9th,Huang High School,82,64,,73
274,Brandon Miles,M,11th,Huang High School,98,76,,87
275,Christina Whitaker,F,12th,Huang High School,86,89,,87.5
276,Nicole Peterson,F,9th,Huang High School,78,98,,88
277,Ashley Moore,F,9th,Huang High School,67,74,,70.5
278,Todd Carrillo,M,10th,Huang High School,80,99,,89.5
279,Robert Williams,M,10th,Huang High School,63,68,,65.5
280,Ashley Jones,F,9th,Huang High School,92,72,,82
281,Vanessa Parker,F,9th,Huang High School,67,78,,72.5
282,Robert Carlson,M,12th,Huang High School,73,82,,77.5
283,Jared Lewis,M,10th,Huang High School,77,56,,66.5
284,Christopher Hernandez,M,10th,Huang High School,92,64,,78
285,Kimberly Harris,F,9th,Huang High School,66,59,,62.5
286,Katrina Hill,F,10th,Huang High School,73,73,,73
287,Heather Lee,F,9th,Huang High School,71,69,,70
288,Donald Harmon,M,11th,Huang High School,63,67,,65
289,Elizabeth Sanders,F,10th,Huang High School,82,64,,73
290,Richard Ramsey,M,12th,Huang High School,80,60,,70
291,Carmen Johnson,F,12th,Huang High School,89,79,,84
292,Elaine Osborne,F,10th,Huang High School,91,69,,80
293,Kent Burns,M,9th,Huang High School,81,72,,76.5
294,Meagan Smith,F,11th,Huang High School,67,87,,77
295,Craig Hahn,M,9th,Huang High School,92,73,,82.5
296,Jeremy Wu,M,11th,Huang High School,72,81,,76.5
297,Aaron Rodriguez,M,11th,Huang High School,75,78,,76.5
298,Matthew Taylor,M,10th,Huang High School,64,63,,63.5
299,Diana Evans,F,11th,Huang High School,96,94,,95
300,Michele Pearson,F,12th,Huang High School,89,98,,93.5
301,Erik Wagner,M,12th,Huang High School,92,61,,76.5
302,Maria Welch,F,12th,Huang High School,74,97,,85.5
303,Debra Martin,F,12th,Huang High School,68,55,,61.5
304,Devon Conner,M,9th,Huang High School,91,89,,90
305,Christine Patel,F,9th,Huang High School,99,94,,96.5
306,David Lopez,M,9th,Huang High School,95,95,,95
307,Nathan Baird,M,11th,Huang High School,68,59,,63.5
308,Samuel Castillo,M,11th,Huang High School,98,57,,77.5
309,Rebecca Payne,F,11th,Huang High School,77,66,,71.5
310,Carl Johnson,M,10th,Huang High School,64,95,,79.5
311,William Adams,M,12th,Huang High School,85,82,,83.5
312,Paula Harrison,F,11th,Huang High School,81,91,,86
313,Wayne Atkinson,M,11th,Huang High School,86,63,,74.5
314,Lindsay Frank,F,9th,Huang High School,92,66,,79
315,Jose Garcia,M,10th,Huang High School,67,84,,75.5
316,Andrew Gaines,M,12th,Huang High School,68,87,,77.5
317,Rachael Liu,F,10th,Huang High School,77,79,,78
318,Donald Lewis,M,11th,Huang High School,72,72,,72
319,Shane Edwards,M,9th,Huang High School,74,59,,66.5
320,Todd Levy,M,12th,Huang High School,91,94,,92.5
321,Joanna Moore,F,10th,Huang High School,84,66,,75
322,Michael Lewis,M,9th,Huang High School,98,90,,94
323,James Robinson,M,9th,Huang High School,91,60,,75.5
324,Jeffrey Arellano,M,9th,Huang High School,89,87,,88
325,Heather Allen MD,F,11th,Huang High School,96,94,,95
326,Lori Villarreal,F,9th,Huang High School,66,81,,73.5
327,Robert Harper,M,12th,Huang High School,78,85,,81.5
328,Karen Villegas,F,9th,Huang High School,76,57,,66.5
329,Tracey Crane,F,9th,Huang High School,77,97,,87
330,Elizabeth Allen,F,9th,Huang High School,73,77,,75
331,Jorge Lynn,M,11th,Huang High School,93,66,,79.5
332,Harold Gordon,M,11th,Huang High School,98,66,,82
333,Nicholas Mcclain,M,9th,Huang High School,76,90,,83
334,Tanya Harris,F,11th,Huang High School,85,86,,85.5
335,Amy Smith,F,12th,Huang High School,93,93,,93
336,Kathy Morse,F,11th,Huang High School,64,91,,77.5
337,Andrea Wood,F,10th,Huang High School,77,70,,73.5
338,Maureen Massey,F,9th,Huang High School,98,76,,87
339,Daniel Smith,M,11th,Huang High School,66,81,,73.5
340,Alexandra Smith,F,11th,Huang High School,78,77,,77.5
341,Caitlin Hall,F,11th,Huang High School,72,58,,65
342,Jose Carlson,M,11th,Huang High School,90,91,,90.5
343,Deborah Macias,F,9th,Huang High School,90,87,,88.5
344,Dwayne Rice,M,11th,Huang High School,99,78,,88.5
345,Matthew Harris,M,10th,Huang High School,69,80,,74.5
346,Eric Bowman,M,9th,Huang High School,80,94,,87
347,Samuel Ali,M,9th,Huang High School,66,91,,78.5
348,David Miller,M,12th,Huang High School,70,92,,81
349,James Moreno,M,11th,Huang High School,89,63,,76
350,Brooke Austin,F,11th,Huang High School,78,98,,88
351,Alisha Martin,F,10th,Huang High School,65,68,,66.5
352,Neil Rodriguez,M,10th,Huang High School,98,69,,83.5
353,Gary Williams,M,10th,Huang High School,73,56,,64.5
354,Michael Pittman,M,12th,Huang High School,89,60,,74.5
355,Stephanie Palmer,F,10th,Huang High School,85,91,,88
356,Christine Perry,F,11th,Huang High School,92,97,,94.5
357,Suzanne David,F,10th,Huang High School,83,62,,72.5
358,Amber Smith,F,12th,Huang High School,82,75,,78.5
359,Ryan Jones,M,9th,Huang High School,94,62,,78
360,Emily Ford,F,9th,Huang High School,79,61,,70
361,Kelsey Shea,F,12th,Huang High School,85,66,,75.5
362,Katherine Wallace,F,12th,Huang High School,65,56,,60.5
363,Erica Conway,F,11th,Huang High School,79,72,,75.5
364,Tyler Parker,M,11th,Huang High School,88,56,,72
365,Michael Parks,M,9th,Huang High School,93,58,,75.5
366,Elizabeth Hunt,F,12th,Huang High School,91,58,,74.5
367,Grant Jackson,M,11th,Huang High School,78,61,,69.5
368,Daniel Matthews,M,9th,Huang High School,78,78,,78
369,Diana Silva,F,9th,Huang High School,69,82,,75.5
370,Frank Garza,M,11th,Huang High School,84,95,,89.5
371,Terri Fischer,F,10th,Huang High School,68,55,,61.5
372,Robert Goodwin,M,12th,Huang High School,95,92,,93.5
373,Bobby Ruiz,M,10th,Huang High School,65,97,,81
374,Stephanie Taylor,F,12th,Huang High School,75,97,,86
375,Erin Hill,F,10th,Huang High School,68,98,,83
376,Erin Cohen,F,10th,Huang High School,71,74,,72.5
377,Jeffrey Morris,M,9th,Huang High School,84,57,,70.5
378,Elizabeth Simpson,F,10th,Huang High School,97,63,,80
379,Jennifer Davis,F,11th,Huang High School,96,68,,82
380,Rachel Burton,F,9th,Huang High School,75,75,,75
381,Joseph Wilkins,M,9th,Huang High School,66,95,,80.5
382,Lawrence Montgomery,M,11th,Huang High School,87,70,,78.5
383,Patricia Howard,F,11th,Huang High School,70,65,,67.5
384,Jessica Hanson,F,11th,Huang High School,84,55,,69.5
385,Donna Dean,F,10th,Huang High School,98,77,,87.5
386,Edwin Reid,M,9th,Huang High School,69,57,,63
387,Jodi Brown,F,12th,Huang High School,70,85,,77.5
388,Elizabeth Richard,F,9th,Huang High School,90,88,,89
389,Aaron Martinez,M,9th,Huang High School,85,72,,78.5
390,Stephen Fischer,M,9th,Huang High School,81,88,,84.5
391,Diana Reeves,F,11th,Huang High School,86,83,,84.5
392,Jeffrey Eaton,M,10th,Huang High School,99,90,,94.5
393,Evelyn Miller,F,9th,Huang High School,65,71,,68
394,Christopher Kidd,M,9th,Huang High School,97,55,,76
395,Sarah Adams,F,9th,Huang High School,91,62,,76.5
396,Melinda Nelson,F,12th,Huang High School,75,82,,78.5
397,Kevin Brooks,M,11th,Huang High School,78,72,,75
398,John Bowen,M,12th,Huang High School,77,56,,66.5
399,Tracie Abbott,F,12th,Huang High School,72,69,,70.5
400,Allen Foster,M,11th,Huang High School,93,65,,79
401,Kathryn Elliott,F,12th,Huang High School,63,91,,77
402,Christopher Walker,M,12th,Huang High School,94,66,,80
403,Cynthia Martin,F,11th,Huang High School,67,59,,63
404,Amanda Bennett,F,11th,Huang High School,88,97,,92.5
405,Dennis Padilla,M,11th,Huang High School,92,93,,92.5
406,Antonio Miller,M,11th,Huang High School,63,63,,63
407,Melissa Trevino,F,11th,Huang High School,71,56,,63.5
408,Andrew King,M,10th,Huang High School,99,80,,89.5
409,John Martinez,M,11th,Huang High School,68,76,,72
410,Lauren King,F,9th,Huang High School,74,82,,78
411,Stephanie Mercado,F,9th,Huang High School,93,98,,95.5
412,William Smith,M,11th,Huang High School,69,94,,81.5
413,Jonathan Marshall,M,12th,Huang High School,86,72,,79
414,Luke Lowery MD,M,10th,Huang High School,93,82,,87.5
415,Emily Reynolds,F,9th,Huang High School,88,99,,93.5
416,Kevin Mclean,M,9th,Huang High School,86,80,,83
417,Elizabeth Taylor,F,11th,Huang High School,97,84,,90.5
418,Pamela Rivas,F,11th,Huang High School,84,58,,71
419,Tammy Martin,F,9th,Huang High School,84,64,,74
420,Holly Watkins,F,9th,Huang High School,81,74,,77.5
421,Patrick Chen,M,9th,Huang High School,67,79,,73
422,Michelle Griffin,F,10th,Huang High School,85,81,,83
423,Theresa Andrews,F,12th,Huang High School,65,58,,61.5
424,Alan Henry,M,9th,Huang High School,63,81,,72
425,Dr. Larry Hines,M,10th,Huang High School,91,59,,75
426,Travis Frazier,M,12th,Huang High School,75,68,,71.5
427,Julie Jones,F,12th,Huang High School,74,68,,71
428,Natalie Reynolds,F,10th,Huang High School,77,70,,73.5
429,Jessica Cohen,F,10th,Huang High School,69,98,,83.5
430,Jason Robinson,M,12th,Huang High School,69,95,,82
431,Heather Palmer,F,9th,Huang High School,78,57,,67.5
432,Emily Cardenas MD,F,10th,Huang High School,77,87,,82
433,Scott Glover,M,12th,Huang High School,65,92,,78.5
434,Jacqueline White,F,12th,Huang High School,68,67,,67.5
435,Mrs. Elizabeth Espinoza DDS,F,9th,Huang High School,76,75,,75.5
436,Toni Porter,F,11th,Huang High School,92,72,,82
437,Jennifer Mejia,F,11th,Huang High School,90,59,,74.5
438,Brenda Peterson,F,10th,Huang High School,75,78,,76.5
439,Paul Hamilton,M,9th,Huang High School,73,72,,72.5
440,Patricia Nguyen,F,11th,Huang High School,83,56,,69.5
441,James Ho,M,12th,Huang High School,86,61,,73.5
442,Elizabeth Cohen,F,10th,Huang High School,97,61,,79
443,Stephanie Lane,F,9th,Huang High School,70,57,,63.5
444,Dawn Rhodes,F,12th,Huang High School,67,66,,66.5
445,Theresa Robinson,F,10th,Huang High School,63,65,,64
446,Breanna Mosley,F,9th,Huang High School,85,79,,82
447,Carmen Wilson,F,10th,Huang High School,69,92,,80.5
448,Ian Brown,M,9th,Huang High School,77,71,,74
449,Kathleen Matthews,F,11th,Huang High School,96,60,,78
450,Bryan Diaz,M,11th,Huang High School,64,84,,74
451,Gina Sweeney,F,11th,Huang High School,81,59,,70
452,Alan Garcia,M,10th,Huang High School,88,60,,74
453,Erik Wheeler,M,10th,Huang High School,94,58,,76
454,Stephanie Robles,F,9th,Huang High School,83,95,,89
455,Samantha Hanson,F,9th,Huang High School,83,61,,72
456,Christopher Williams,M,11th,Huang High School,89,83,,86
457,Stephanie Hart,F,12th,Huang High School,94,63,,78.5
458,Mrs. Lisa Becker,F,11th,Huang High School,84,68,,76
459,Bianca Johnson,F,9th,Huang High School,92,68,,80
460,Amy Steele,F,12th,Huang High School,67,63,,65
461,Gina Contreras,F,9th,Huang High School,92,92,,92
462,Jaime Alexander,F,10th,Huang High School,93,77,,85
463,Kevin Coleman,M,12th,Huang High School,88,77,,82.5
464,Caitlin Williams,F,10th,Huang High School,98,79,,88.5
465,Joseph Lloyd,M,9th,Huang High School,81,89,,85
466,Carrie Hernandez,F,11th,Huang High School,86,92,,89
467,Mr. Travis Young,M,10th,Huang High School,81,61,,71
468,Francis Wright,M,12th,Huang High School,63,92,,77.5
469,Joel Harper,M,9th,Huang High School,99,94,,96.5
470,Eduardo Park,M,9th,Huang High School,67,62,,64.5
471,Melissa Yoder,F,10th,Huang High School,95,74,,84.5
472,Donna Campbell,F,9th,Huang High School,82,64,,73
